管理コード,一般名（全角）,一般名（半角カナ）,採用商品名（全角）,採用商品名（半角カナ）,薬効分類,薬剤区分,支持療法分類,単位,投与経路,標準希釈液,フィルター,遮光,先発後発,備考,1V当たりmg,患者向け説明,スケジュールシール用種類,別名・旧採用品名
AC001,シスプラチン,ｼｽﾌﾟﾗﾁﾝ,シスプラチン,ｼｽﾌﾟﾗﾁﾝ,白金製剤,抗がん剤,,mg/m2,点滴静注,生食,不要,不要,後発品,生食以外禁,,抗がん剤です,細胞障害性抗がん薬,"ランダ,ブリプラチン,シスプラチン注"
AC002,カルボプラチン,ｶﾙﾎﾞﾌﾟﾗﾁﾝ,カルボプラチン,ｶﾙﾎﾞﾌﾟﾗﾁﾝ,白金製剤,抗がん剤,,AUC,点滴静注,5%ブドウ糖液,不要,不要,後発品,Calvert式,,抗がん剤です,細胞障害性抗がん薬,"パラプラチン,カルボプラチン注"
AC003,オキサリプラチン,ｵｷｻﾘﾌﾟﾗﾁﾝ,オキサリプラチン,ｵｷｻﾘﾌﾟﾗﾁﾝ,白金製剤,抗がん剤,,mg/m2,点滴静注,5%ブドウ糖液,不要,要,後発品,生食禁,,抗がん剤です,細胞障害性抗がん薬,"エルプラット,オキサリプラチン注"
AC004,ネダプラチン,ﾈﾀﾞﾌﾟﾗﾁﾝ,アクプラ,ｱｸﾌﾟﾗ,白金製剤,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,不要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC005,パクリタキセル,ﾊﾟｸﾘﾀｷｾﾙ,パクリタキセル,ﾊﾟｸﾘﾀｷｾﾙ,タキサン系,抗がん剤,,mg/m2,点滴静注,生食,0.22μm,不要,後発品,PVCフリー器具,,抗がん剤です,細胞障害性抗がん薬,"タキソール,パクリタキセル注"
AC006,パクリタキセル（アルブミン懸濁型）,ﾊﾟｸﾘﾀｷｾﾙ(nab),アブラキサン,ｱﾌﾞﾗｷｻﾝ,タキサン系（nab）,抗がん剤,,mg/m2,点滴静注,生食,不要,不要,先発品,フィルター使用不可,,抗がん剤です,細胞障害性抗がん薬,"nab-パクリタキセル,アブラキサン"
AC007,ドセタキセル,ﾄﾞｾﾀｷｾﾙ,ドセタキセル,ﾄﾞｾﾀｷｾﾙ,タキサン系,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,不要,後発品,ー,,抗がん剤です,細胞障害性抗がん薬,"タキソテール,ドセタキセル注"
AC008,カバジタキセル,ｶﾊﾞｼﾞﾀｷｾﾙ,ジェブタナ,ｼﾞｪﾌﾞﾀﾅ,タキサン系（第2世代）,抗がん剤,,mg/m2,点滴静注,生食または5%GS,0.22μm,不要,先発品,前投薬必須,,抗がん剤です,細胞障害性抗がん薬,"カバジタキセル,ジェブタナ"
AC009,シクロホスファミド,ｼｸﾛﾎｽﾌｧﾐﾄﾞ,エンドキサン,ｴﾝﾄﾞｷｻﾝ,アルキル化剤,抗がん剤,,mg/m2,点滴静注,生食,不要,不要,先発品,メスナ併用考慮,,抗がん剤です,細胞障害性抗がん薬,"シクロホスファミド,エンドキサン注"
AC010,イホスファミド,ｲﾎｽﾌｧﾐﾄﾞ,イホマイド,ｲﾎﾏｲﾄﾞ,アルキル化剤,抗がん剤,,mg/m2,点滴静注,生食,不要,不要,先発品,メスナ必須,,抗がん剤です,細胞障害性抗がん薬,"イホマイド,イホスファミド注"
AC011,メルファラン,ﾒﾙﾌｧﾗﾝ,アルケラン,ｱﾙｹﾗﾝ,アルキル化剤,抗がん剤,,mg/m2,点滴静注,専用溶解液→生食,不要,不要,先発品,溶解後安定性短い,,抗がん剤です,細胞障害性抗がん薬,
AC012,ベンダムスチン,ﾍﾞﾝﾀﾞﾑｽﾁﾝ,ベンダムスチン塩酸塩,ﾍﾞﾝﾀﾞﾑｽﾁﾝ,アルキル化剤,抗がん剤,,mg/m2,点滴静注,生食,不要,不要,後発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC013,ブスルファン,ﾌﾞｽﾙﾌｧﾝ,ブスルフェクス,ﾌﾞｽﾙﾌｪｸｽ,アルキル化剤,抗がん剤,,mg/kg,点滴静注,生食または5%GS,不要,不要,先発品,造血幹細胞移植前処置,,抗がん剤です,細胞障害性抗がん薬,
AC014,チオテパ,ﾁｵﾃﾊﾟ,リサイオ,ﾘｻｲｵ,アルキル化剤,抗がん剤,,mg/kg,点滴静注,生食,0.22μm,不要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC015,ダカルバジン,ﾀﾞｶﾙﾊﾞｼﾞﾝ,ダカルバジン,ﾀﾞｶﾙﾊﾞｼﾞﾝ,アルキル化剤,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,先発品,遮光必須,,抗がん剤です,細胞障害性抗がん薬,
AC016,テモゾロミド,ﾃﾓｿﾞﾛﾐﾄﾞ,テモダール,ﾃﾓﾀﾞｰﾙ,アルキル化剤,抗がん剤,,mg/m2,点滴静注,専用溶解液,不要,要,先発品,遮光必須,,抗がん剤です,細胞障害性抗がん薬,
AC017,ストレプトゾシン,ｽﾄﾚﾌﾟﾄｿﾞｼﾝ,ザノサー,ｻﾞﾉｻｰ,アルキル化剤,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC018,ラニムスチン,ﾗﾆﾑｽﾁﾝ,サイメリン注,ｻｲﾒﾘﾝ,アルキル化剤,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC019,ニムスチン,ﾆﾑｽﾁﾝ,ニドラン注,ﾆﾄﾞﾗﾝ,アルキル化剤,抗がん剤,,mg/m2,点滴静注,注射用水,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC020,メトトレキサート,ﾒﾄﾄﾚｷｻｰﾄ,メソトレキセート,ﾒｿﾄﾚｷｾｰﾄ,代謝拮抗薬（葉酸拮抗薬）,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,先発品,HD時ホリナート救援必須,,抗がん剤です,細胞障害性抗がん薬,"メソトレキセート,MTX,メトトレキサート注"
AC021,フルオロウラシル,ﾌﾙｵﾛｳﾗｼﾙ,フルオロウラシル,ﾌﾙｵﾛｳﾗｼﾙ,代謝拮抗薬（ピリミジン拮抗薬）,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,後発品,ー,,抗がん剤です,細胞障害性抗がん薬,"5-FU,フルオロウラシル注"
AC022,シタラビン,ｼﾀﾗﾋﾞﾝ,キロサイド,ｷﾛｻｲﾄﾞ,代謝拮抗薬（ピリミジン拮抗薬）,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,不要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,"キロサイド,シタラビン注"
AC023,シタラビン（大量）,ｼﾀﾗﾋﾞﾝ(ﾀﾞｲﾘｮｳ),キロサイドN,ｷﾛｻｲﾄﾞN,代謝拮抗薬（大量療法）,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,不要,先発品,大量療法時,,抗がん剤です,細胞障害性抗がん薬,
AC024,ゲムシタビン,ｹﾞﾑｼﾀﾋﾞﾝ,ゲムシタビン,ｹﾞﾑｼﾀﾋﾞﾝ,代謝拮抗薬（ピリミジン拮抗薬）,抗がん剤,,mg/m2,点滴静注,生食,不要,不要,後発品,ー,,抗がん剤です,細胞障害性抗がん薬,"ジェムザール,ゲムシタビン注"
AC025,ペメトレキセド,ﾍﾟﾒﾄﾚｷｾﾄﾞ,ペメトレキセド,ﾍﾟﾒﾄﾚｷｾﾄﾞ,代謝拮抗薬（葉酸拮抗薬）,抗がん剤,,mg/m2,点滴静注,生食,不要,不要,後発品,葉酸・B12補充必須,,抗がん剤です,細胞障害性抗がん薬,"アリムタ,ペメトレキセド注"
AC026,フルダラビン,ﾌﾙﾀﾞﾗﾋﾞﾝ,フルダラ,ﾌﾙﾀﾞﾗ,代謝拮抗薬（プリン拮抗薬）,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,不要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC027,アザシチジン,ｱｻﾞｼﾁｼﾞﾝ,アザシチジン,ｱｻﾞｼﾁｼﾞﾝ,代謝拮抗薬（ピリミジン拮抗薬）,抗がん剤,,mg/m2,皮下注または点滴静注,専用溶解液,不要,不要,後発品,皮下注時分割,,抗がん剤です,細胞障害性抗がん薬,
AC028,イリノテカン,ｲﾘﾉﾃｶﾝ,トポテシン,ﾄﾎﾟﾃｼﾝ,トポイソメラーゼⅠ阻害薬,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,"カンプト,トポテシン,イリノテカン注"
AC029,イリノテカン（リポソーム）,ｲﾘﾉﾃｶﾝ(ﾘﾎﾟ),オニバイド,ｵﾆﾊﾞｲﾄﾞ,トポイソメラーゼⅠ阻害薬（リポソーム）,抗がん剤,,mg/m2,点滴静注,5%GS,不要,不要,先発品,用量換算注意,,抗がん剤です,細胞障害性抗がん薬,"nal-イリノテカン,オニバイド"
AC030,ノギテカン,ﾉｷﾞﾃｶﾝ,ハイカムチン,ﾊｲｶﾑﾁﾝ,トポイソメラーゼⅠ阻害薬,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC031,エトポシド,ｴﾄﾎﾟｼﾄﾞ,エトポシド,ｴﾄﾎﾟｼﾄﾞ,トポイソメラーゼⅡ阻害薬,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,"ラステット,ベプシド,エトポシド注"
AC032,ビンクリスチン,ﾋﾞﾝｸﾘｽﾁﾝ,オンコビン注,ｵﾝｺﾋﾞﾝ,ビンカアルカロイド,抗がん剤,,mg,静注,生食,不要,要,先発品,髄腔内絶対禁忌,,抗がん剤です,細胞障害性抗がん薬,"オンコビン,ビンクリスチン注"
AC033,ビンブラスチン,ﾋﾞﾝﾌﾞﾗｽﾁﾝ,エクザール注,ｴｸｻﾞｰﾙ,ビンカアルカロイド,抗がん剤,,mg/m2,静注,生食,不要,要,先発品,髄腔内絶対禁忌,,抗がん剤です,細胞障害性抗がん薬,
AC034,ビンデシン,ﾋﾞﾝﾃﾞｼﾝ,フィルデシン,ﾌｨﾙﾃﾞｼﾝ,ビンカアルカロイド,抗がん剤,,mg/m2,静注,生食,不要,要,先発品,髄腔内絶対禁忌,,抗がん剤です,細胞障害性抗がん薬,
AC035,ビノレルビン,ﾋﾞﾉﾚﾙﾋﾞﾝ,ロゼウス,ﾛｾﾞｳｽ,ビンカアルカロイド,抗がん剤,,mg/m2,点滴静注,生食,不要,要,先発品,希釈必須,,抗がん剤です,細胞障害性抗がん薬,"ロゼウス,ビノレルビン注"
AC036,エリブリン,ｴﾘﾌﾞﾘﾝ,エリブリンメシル酸塩,ｴﾘﾌﾞﾘﾝ,微小管阻害薬,抗がん剤,,mg/m2,静注,不要,不要,不要,後発品,原液静注,,抗がん剤です,細胞障害性抗がん薬,
AC037,ドキソルビシン,ﾄﾞｷｿﾙﾋﾞｼﾝ,ドキソルビシン塩酸塩,ﾄﾞｷｿﾙﾋﾞｼﾝ,アントラサイクリン系,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,後発品,ー,,抗がん剤です,細胞障害性抗がん薬,"アドリアシン,ドキソルビシン注"
AC038,ドキソルビシン（PEGリポソーム）,ﾄﾞｷｿﾙﾋﾞｼﾝ(PEGﾘﾎﾟ),ドキシル注,ﾄﾞｷｼﾙ,アントラサイクリン（リポソーム）,抗がん剤,,mg/m2,点滴静注,5%GS,不要,要,先発品,フィルター不可,,抗がん剤です,細胞障害性抗がん薬,
AC039,ダウノルビシン,ﾀﾞｳﾉﾙﾋﾞｼﾝ,ダウノマイシン,ﾀﾞｳﾉﾏｲｼﾝ,アントラサイクリン系,抗がん剤,,mg/m2,静注,生食,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC040,ダウノルビシン・シタラビン（リポソーム）,ﾀﾞｳﾉﾙﾋﾞｼﾝ･ｼﾀﾗﾋﾞﾝ(ﾘﾎﾟ),ビキセオス配合,ﾋﾞｷｾｵｽ,アントラサイクリン複合体（リポソーム）,抗がん剤,,1瓶/body,点滴静注,生食,不要,不要,先発品,用量設定注意,,抗がん剤です,細胞障害性抗がん薬,
AC041,イダルビシン,ｲﾀﾞﾙﾋﾞｼﾝ,イダマイシン,ｲﾀﾞﾏｲｼﾝ,アントラサイクリン系,抗がん剤,,mg/m2,静注,生食,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC042,ピラルビシン,ﾋﾟﾗﾙﾋﾞｼﾝ,ピノルビン,ﾋﾟﾉﾙﾋﾞﾝ,アントラサイクリン系,抗がん剤,,mg/m2,点滴静注,5%GS,不要,要,先発品,生食混合禁,,抗がん剤です,細胞障害性抗がん薬,
AC043,アクラルビシン,ｱｸﾗﾙﾋﾞｼﾝ,アクラシノン,ｱｸﾗｼﾉﾝ,アントラサイクリン系,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC044,アムルビシン,ｱﾑﾙﾋﾞｼﾝ,カルセド,ｶﾙｾﾄﾞ,アントラサイクリン系（合成）,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,"カルセド,アムルビシン注"
AC045,ミトキサントロン,ﾐﾄｷｻﾝﾄﾛﾝ,ノバントロン注,ﾉﾊﾞﾝﾄﾛﾝ,アントラサイクリン類縁体,抗がん剤,,mg/m2,点滴静注,生食または5%GS,不要,不要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC046,マイトマイシンC,ﾏｲﾄﾏｲｼﾝC,マイトマイシン,ﾏｲﾄﾏｲｼﾝ,抗腫瘍性抗生物質,抗がん剤,,mg/m2,静注,注射用水,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC047,ブレオマイシン,ﾌﾞﾚｵﾏｲｼﾝ,ブレオ,ﾌﾞﾚｵ,抗腫瘍性抗生物質,抗がん剤,,mg,点滴静注,生食,不要,不要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,"ブレオ,ブレオマイシン注"
AC048,アクチノマイシンD,ｱｸﾁﾉﾏｲｼﾝD,コスメゲン,ｺｽﾒｹﾞﾝ,抗腫瘍性抗生物質,抗がん剤,,μg/kg,点滴静注,生食または5%GS,不要,要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC049,三酸化二ヒ素,ｻﾝｻﾝｶﾆﾋｿ,トリセノックス,ﾄﾘｾﾉｯｸｽ,APL治療薬,抗がん剤,,mg/kg,点滴静注,生食または5%GS,不要,要,先発品,QT延長注意,,抗がん剤です,細胞障害性抗がん薬,
AC050,L-アスパラギナーゼ,L-ｱｽﾊﾟﾗｷﾞﾅｰｾﾞ,ロイナーゼ注,ﾛｲﾅｰｾﾞ,アスパラギン代謝拮抗薬,抗がん剤,,単位/m2,点滴静注,生食,不要,不要,先発品,ショック対応要準備,,抗がん剤です,細胞障害性抗がん薬,
AC051,ペグアスパルガーゼ,ﾍﾟｸﾞｱｽﾊﾟﾙｶﾞｰｾﾞ,オンキャスパー,ｵﾝｷｬｽﾊﾟｰ,アスパラギン代謝拮抗薬（PEG化）,抗がん剤,,単位/m2,点滴静注,生食または5%GS,不要,不要,先発品,ー,,抗がん剤です,細胞障害性抗がん薬,
AC052,トラベクテジン,ﾄﾗﾍﾞｸﾃｼﾞﾝ,ヨンデリス,ﾖﾝﾃﾞﾘｽ,アルキル化薬（海洋天然物）,抗がん剤,,mg/m2,点滴静注,5%GS,不要,不要,先発品,24時間持続投与,,抗がん剤です,細胞障害性抗がん薬,
AC053,セツキシマブ,ｾﾂｷｼﾏﾌﾞ,アービタックス,ｱｰﾋﾞﾀｯｸｽ,抗EGFR抗体,抗がん剤,,mg/m2,点滴静注,生食,不要,不要,先発品,前投薬必須,,抗がん剤です,分子標的薬,"アービタックス,セツキシマブ注"
AC054,パニツムマブ,ﾊﾟﾆﾂﾑﾏﾌﾞ,ベクティビックス,ﾍﾞｸﾃｨﾋﾞｯｸｽ,抗EGFR抗体（ヒト型）,抗がん剤,,mg/kg,点滴静注,生食,0.22μm,不要,先発品,前投薬考慮,,抗がん剤です,分子標的薬,
AC055,トラスツズマブ,ﾄﾗｽﾂｽﾞﾏﾌﾞ,トラスツズマブBS,ﾄﾗｽﾂｽﾞﾏﾌﾞBS,抗HER2抗体,抗がん剤,,mg/kg,点滴静注,生食,不要,不要,後発品,初回投与後観察必要,,抗がん剤です,分子標的薬,"ハーセプチン,トラスツズマブ注"
AC056,ペルツズマブ,ﾍﾟﾙﾂｽﾞﾏﾌﾞ,パージェタ,ﾊﾟｰｼﾞｪﾀ,抗HER2抗体,抗がん剤,,mg,点滴静注,生食,不要,不要,先発品,ー,,抗がん剤です,分子標的薬,"パージェタ,ペルツズマブ注"
AC057,ペルツズマブ・トラスツズマブ配合,ﾍﾟﾙﾂｽﾞﾏﾌﾞ･ﾄﾗｽﾂｽﾞﾏﾌﾞ配合,フェスゴ配合,ﾌｪｽｺﾞ,抗HER2抗体配合皮下注,抗がん剤,,1瓶/body,皮下注,不要,不要,先発品,専用デバイス,,,抗がん剤です,分子標的薬,
AC058,トラスツズマブ エムタンシン,ﾄﾗｽﾂｽﾞﾏﾌﾞ ｴﾑﾀﾝｼﾝ,カドサイラ,ｶﾄﾞｻｲﾗ,抗HER2-ADC（DM1）,抗がん剤,,mg/kg,点滴静注,生食,0.22μm,不要,先発品,ー,,抗がん剤です,分子標的薬,"カドサイラ,T-DM1"
AC059,トラスツズマブ デルクステカン,ﾄﾗｽﾂｽﾞﾏﾌﾞ ﾃﾞﾙｸｽﾃｶﾝ,エンハーツ,ｴﾝﾊｰﾂ,抗HER2-ADC（DXd）,抗がん剤,,mg/kg,点滴静注,5%GS,0.20μm,不要,先発品,5%GS希釈,,抗がん剤です,分子標的薬,"エンハーツ,T-DXd,トラスツズマブデルクステカン"
AC060,サシツズマブ ゴビテカン,ｻｼﾂｽﾞﾏﾌﾞ ｺﾞﾋﾞﾃｶﾝ,トロデルビ,ﾄﾛﾃﾞﾙﾋﾞ,抗TROP2-ADC（SN-38）,抗がん剤,,mg/kg,点滴静注,生食,0.22μm,不要,先発品,ー,,抗がん剤です,分子標的薬,
AC061,ダトポタマブ デルクステカン,ﾀﾞﾄﾎﾟﾀﾏﾌﾞ ﾃﾞﾙｸｽﾃｶﾝ,ダトロウェイ,ﾀﾞﾄﾛｳｪｲ,抗TROP2-ADC（DXd）,抗がん剤,,mg/kg,点滴静注,5%GS,0.22μm,不要,先発品,ー,,抗がん剤です,分子標的薬,
AC062,エンホルツマブ ベドチン,ｴﾝﾎﾙﾂﾏﾌﾞ ﾍﾞﾄﾞﾁﾝ,パドセブ,ﾊﾟﾄﾞｾﾌﾞ,抗Nectin-4-ADC（MMAE）,抗がん剤,,mg/kg,点滴静注,生食,0.22μm,不要,先発品,ー,,抗がん剤です,分子標的薬,
AC063,ブレンツキシマブ ベドチン,ﾌﾞﾚﾝﾂｷｼﾏﾌﾞ ﾍﾞﾄﾞﾁﾝ,アドセトリス,ｱﾄﾞｾﾄﾘｽ,抗CD30-ADC（MMAE）,抗がん剤,,mg/kg,点滴静注,生食,0.22μm,不要,先発品,ー,,抗がん剤です,分子標的薬,
AC064,ポラツズマブ ベドチン,ﾎﾟﾗﾂｽﾞﾏﾌﾞ ﾍﾞﾄﾞﾁﾝ,ポライビー,ﾎﾟﾗｲﾋﾞｰ,抗CD79b-ADC（MMAE）,抗がん剤,,mg/kg,点滴静注,生食または5%GS,0.22μm,不要,先発品,ー,,抗がん剤です,分子標的薬,
AC065,イノツズマブ オゾガマイシン,ｲﾉﾂｽﾞﾏﾌﾞ ｵｿﾞｶﾞﾏｲｼﾝ,ベスポンサ,ﾍﾞｽﾎﾟﾝｻ,抗CD22-ADC（カリケアマイシン）,抗がん剤,,mg/m2,点滴静注,生食,0.22μm,不要,先発品,VOD発症リスク,,抗がん剤です,分子標的薬,
